File Name:	C:\TAData\2018-11-22 09-12.tad

[File Information]
File Name:	2018-11-22 09-12.tad
Sample Name:	Indium - Standard
Lot No:	010
Acquisition Date	18/11/22
Acquisition Time	09:12:11(-0500)
Detector:	DSC-60
Serial No:	C30454400666SA
Operator:	Thad
Atmosphere:	Air
Flow Rate:	0[ml/min]
Cell:	Aluminum
Sample Weight:	1.700[mg]
Molecular Weight:	114.82


[Program]
[Sampling Parameters]
Sampling Time [ sec ]:	2.0
Start Acquisition Setting:	Acquisition before measurement starts[ min ]:	1.0
Stop Acquisition Setting:	Acquisition after measurement stops[ min ]:	1.0


[Temp Program]
Temp Rate	Hold Temp	Hold Time
[C/min ]	[  C   ]	[  min  ]
2.00	180.0	2
-2.00	90.0	8
10.00	190.0	2
-10.00	20.0	0


[Data]
Temp	DSC
C	mW
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.34	-0.40
40.35	-0.40
40.35	-0.40
40.35	-0.40
40.34	-0.40
40.35	-0.40
40.35	-0.40
40.36	-0.40
40.37	-0.40
40.39	-0.40
40.41	-0.41
40.44	-0.42
40.48	-0.42
40.51	-0.43
40.55	-0.44
40.61	-0.45
40.65	-0.45
40.71	-0.46
40.75	-0.46
40.82	-0.47
40.88	-0.47
40.93	-0.47
40.99	-0.47
41.05	-0.48
41.11	-0.48
41.17	-0.48
41.24	-0.48
41.30	-0.48
41.37	-0.48
41.42	-0.48
41.49	-0.48
41.55	-0.48
41.61	-0.48
41.68	-0.48
41.74	-0.48
41.81	-0.48
41.87	-0.48
41.93	-0.48
41.99	-0.49
42.06	-0.49
42.12	-0.49
42.19	-0.49
42.25	-0.49
42.32	-0.49
42.38	-0.49
42.44	-0.49
42.51	-0.49
42.57	-0.49
42.64	-0.49
42.70	-0.49
42.76	-0.49
42.82	-0.49
42.89	-0.49
42.96	-0.49
43.02	-0.49
43.08	-0.49
43.14	-0.49
43.21	-0.49
43.27	-0.49
43.33	-0.49
43.40	-0.49
43.46	-0.49
43.52	-0.49
43.59	-0.49
43.66	-0.49
43.72	-0.49
43.78	-0.49
43.84	-0.49
43.90	-0.49
43.97	-0.49
44.03	-0.49
44.09	-0.49
44.16	-0.49
44.22	-0.49
44.29	-0.49
44.35	-0.49
44.41	-0.49
44.48	-0.49
44.54	-0.49
44.61	-0.49
44.67	-0.50
44.73	-0.50
44.80	-0.50
44.86	-0.50
44.93	-0.50
44.99	-0.50
45.05	-0.50
45.11	-0.50
45.18	-0.50
45.25	-0.50
45.31	-0.50
45.37	-0.50
45.44	-0.50
45.50	-0.50
45.57	-0.50
45.63	-0.50
45.69	-0.50
45.76	-0.50
45.82	-0.50
45.89	-0.50
45.95	-0.50
46.01	-0.50
46.08	-0.50
46.14	-0.50
46.21	-0.50
46.27	-0.50
46.34	-0.50
46.40	-0.50
46.46	-0.50
46.52	-0.50
46.60	-0.50
46.66	-0.50
46.72	-0.51
46.78	-0.51
46.85	-0.51
46.91	-0.51
46.98	-0.51
47.05	-0.51
47.11	-0.51
47.17	-0.51
47.23	-0.51
47.30	-0.51
47.36	-0.51
47.43	-0.51
47.48	-0.51
47.55	-0.51
47.61	-0.51
47.68	-0.51
47.74	-0.51
47.80	-0.51
47.87	-0.51
47.93	-0.51
48.00	-0.51
48.06	-0.51
48.12	-0.51
48.19	-0.51
48.25	-0.52
48.31	-0.52
48.37	-0.52
48.44	-0.52
48.50	-0.52
48.57	-0.52
48.63	-0.52
48.69	-0.52
48.76	-0.52
48.82	-0.52
48.89	-0.52
48.95	-0.52
49.01	-0.52
49.08	-0.52
49.14	-0.52
49.20	-0.52
49.27	-0.52
49.33	-0.52
49.40	-0.52
49.46	-0.52
49.52	-0.52
49.59	-0.52
49.64	-0.52
49.71	-0.52
49.77	-0.52
49.84	-0.52
49.90	-0.52
49.96	-0.52
50.03	-0.52
50.09	-0.52
50.15	-0.52
50.21	-0.52
50.27	-0.52
50.34	-0.52
50.40	-0.52
50.46	-0.53
50.53	-0.53
50.59	-0.53
50.66	-0.53
50.72	-0.53
50.79	-0.53
50.85	-0.53
50.91	-0.53
50.98	-0.53
51.04	-0.53
51.11	-0.53
51.17	-0.53
51.23	-0.53
51.29	-0.53
51.36	-0.53
51.42	-0.53
51.48	-0.53
51.55	-0.53
51.61	-0.53
51.68	-0.53
51.74	-0.53
51.80	-0.53
51.86	-0.53
51.93	-0.53
51.99	-0.53
52.05	-0.53
52.12	-0.53
52.18	-0.53
52.25	-0.53
52.31	-0.54
52.38	-0.54
52.44	-0.54
52.50	-0.54
52.56	-0.54
52.63	-0.54
52.69	-0.54
52.75	-0.54
52.82	-0.54
52.88	-0.54
52.95	-0.54
53.01	-0.54
53.07	-0.54
53.13	-0.54
53.20	-0.54
53.26	-0.54
53.32	-0.54
53.39	-0.54
53.45	-0.54
53.52	-0.54
53.59	-0.54
53.65	-0.54
53.71	-0.54
53.77	-0.54
53.83	-0.54
53.90	-0.54
53.97	-0.54
54.02	-0.54
54.09	-0.54
54.15	-0.54
54.22	-0.54
54.29	-0.55
54.35	-0.55
54.42	-0.55
